Rank	NCBItaxID	SciNameFull	SciName
S	12241	Tobacco mild green mosaic virus	Tobacco mild
S	107324	Tobacco vein clearing virus	Tobacco vein
S	1933297	Tomato chlorotic spot tospovirus	Tomato chlorotic
S1	12851	Tomato chlorotic spot virus	Tomato chlorotic
S	96054	Tomato leaf curl Philippines virus	Tomato leaf
S	260908	Tomato mosaic leaf curl virus	Tomato mosaic
O1	2499403	Tornidovirineae	Tornidovirineae
F1	694017	Torovirinae	Torovirinae
S	687371	Torque teno mini virus 3	Torque teno
F2	1027231	Tospovirus reassortants	Tospovirus reassortants
S	242710	Tree shrew mastadenovirus A	Tree shrew
S1	47680	Tree shrew adenovirus 1	Tree shrew
S	1580831	Treponema endosymbiont of Eucomonympha sp.	Treponema endosymbiont
S1	862909	Trichodysplasia spinulosa-associated polyomavirus	Trichodysplasia spinulosa-associated
S1	134606	Trichoplusia ni cypovirus 15	Trichoplusia ni
S	328615	Trichoplusia ni ascovirus 2c	Trichoplusia ni
S	332054	Trichoplusia ni single nucleopolyhedrovirus	Trichoplusia ni
F1	1914298	Trivirinae	Trivirinae
F1	1910999	Tunavirinae	Tunavirinae
S1	1421067	Tunisvirus fontaine2	Tunisvirus fontaine2
S1	92129	Tupaia paramyxovirus	Tupaia paramyxovirus
S	10397	Tupaiid betaherpesvirus 1	Tupaiid betaherpesvirus
S1	246343	Turkey astrovirus 2	Turkey astrovirus
S	1962302	Turkey aviadenovirus D	Turkey aviadenovirus
S1	1408258	Turkey aviadenovirus 5	Turkey aviadenovirus
S1	1293536	Turkey avisivirus	Turkey avisivirus
S	298333	Turkey siadenovirus A	Turkey siadenovirus
S	11988	Turnip crinkle virus	Turnip crinkle
S	392504	Turnip ringspot virus	Turnip ringspot
S1	936059	Tursiops truncatus papillomavirus 1	Tursiops truncatus
F1	2560081	Twortvirinae	Twortvirinae
S	1560355	Type-C symbiont of Plautia stali	Type-C symbiont
S	1560356	Type-D symbiont of Plautia stali	Type-D symbiont
S	1560357	Type-E symbiont of Plautia stali	Type-E symbiont
S	1560358	Type-F symbiont of Plautia stali	Type-F symbiont
G1	114292	typhus group	typhus group
U	0	unclassified	unclassified
S	167965	uncultured Termite group 1 bacterium	uncultured Termite
S1	471821	uncultured Termite group 1 bacterium phylotype Rs-D17	uncultured Termite
S	1981054	unicellular cyanobacterium SU2	unicellular cyanobacterium
S	1982589	unicellular cyanobacterium SU3	unicellular cyanobacterium
S	1675866	Urbanus proteus nucleopolyhedrovirus	Urbanus proteus
P1	452284	Ustilaginomycotina	Ustilaginomycotina
S	85642	Vaccinium witches'-broom phytoplasma	Vaccinium witches-broom
S1	1196419	Vaccinium witches'-broom phytoplasma str. VAC	Vaccinium witches-broom
S	1129873	Valsa ceratosperma hypovirus 1	Valsa ceratosperma
F1	1911928	Vequintavirinae	Vequintavirinae
F2	2508196	unclassified Vequintavirinae	Vequintavirinae
P2	417295	unclassified Verrucomicrobia (miscellaneous)	Verrucomicrobia (miscellaneous)
F	134621	Verrucomicrobia subdivision 3	Verrucomicrobia subdivision
G1	1891919	Vibrio oreintalis group	Vibrio oreintalis
S1	2070057	Vibrio phage Aphrodite1	Vibrio phage Aphrodite1
S1	1983593	Vibrio phage JSF10	Vibrio phage JSF10
S1	75320	Vibrio phage KVP40	Vibrio phage KVP40
S1	115992	Vibrio phage nt-1	Vibrio phage nt-1
S1	1076759	Vibrio phage phiVC8	Vibrio phage phiVC8
S1	1938577	Vibrio phage pTD1	Vibrio phage pTD1
S1	1150989	Vibrio phage pVp-1	Vibrio phage pVp-1
S1	1229755	Vibrio phage vB_VpaS_MAR10	Vibrio phage vB_VpaS_MAR10
S1	1262540	Vibrio phage VP4B	Vibrio phage VP4B
S1	1224139	Vibrio shiloi A203	Vibrio shiloi
S1	391591	Vibrio shilonii AK1	Vibrio shilonii
F2	130818	unclassified Vibrionaceae (miscellaneous)	Vibrionaceae (miscellaneous)
D1	12429	unclassified viruses	viruses
P1	2204096	Wallemiomycotina	Wallemiomycotina
S	1888309	Washington bat picornavirus	Washington bat
S	1548722	Waterbird 1 orthobornavirus	Waterbird 1
S	2116466	Wenling frogfish arenavirus 1	Wenling frogfish
S	1608093	Wenzhou Crab Virus 3	Wenzhou Crab
S1	1923661	Wenzhou tapeworm virus 1	Wenzhou tapeworm virus 1
S	321961	Wheat blue dwarf phytoplasma	Wheat blue
S	342409	White spot syndrome virus	White spot
F2	114399	whitefly endosymbionts	whitefly endosymbionts
S1	68347	Wiseana iridescent virus	Wiseana iridescent
S	169402	Wolbachia endosymbiont of Folsomia candida	Wolbachia endosymbiont
S	109663	Wolbachia endosymbiont of Drosophila mauritiana	Wolbachia endosymbiont
S	96496	Wolbachia endosymbiont of Wuchereria bancrofti	Wolbachia endosymbiont
S	118728	Wolbachia endosymbiont of Cylisticus convexus	Wolbachia endosymbiont
S	246273	Wolbachia endosymbiont of Cimex lectularius	Wolbachia endosymbiont
S	215173	Wolbachia endosymbiont of Bemisia tabaci	Wolbachia endosymbiont
S	80849	Wolbachia endosymbiont of Brugia malayi	Wolbachia endosymbiont
S	307502	Wolbachia endosymbiont of Drosophila ananassae	Wolbachia endosymbiont
S	357143	Wolbachia endosymbiont of Nilaparvata lugens	Wolbachia endosymbiont
S	1605993	Wolbachia endosymbiont of Dactylopius coccus	Wolbachia endosymbiont
S	125593	Wolbachia endosymbiont of Trichogramma pretiosum	Wolbachia endosymbiont
S	77551	Wolbachia endosymbiont of Onchocerca volvulus	Wolbachia endosymbiont
S1	1410384	Wolbachia endosymbiont of Onchocerca volvulus str. Cameroon	Wolbachia endosymbiont
S	77038	Wolbachia endosymbiont of Drosophila simulans	Wolbachia endosymbiont
S1	1236909	Wolbachia endosymbiont of Drosophila simulans wHa	Wolbachia endosymbiont
S	180837	Wolbachia endosymbiont of Nasonia vitripennis	Wolbachia endosymbiont
S1	941258	Wolbachia endosymbiont wVitB of Nasonia vitripennis	Wolbachia endosymbiont
S	260213	Wolbachia endosymbiont of Leptopilina clavipes	Wolbachia endosymbiont
S	1150948	Wolbachia endosymbiont of Glossina morsitans morsitans	Wolbachia endosymbiont
S	116598	Wolbachia endosymbiont of Diaphorina citri	Wolbachia endosymbiont
S	368602	Wolbachia endosymbiont of Laodelphax striatellus	Wolbachia endosymbiont
S	100901	Wolbachia endosymbiont of Onchocerca ochengi	Wolbachia endosymbiont
F1	952	Wolbachieae	Wolbachieae
S	1746069	Wuhan centipede virus	Wuhan centipede
S	1608104	Wuhan House Fly Virus 1	Wuhan House
S	1980543	Wuhan mosquito orthophasmavirus 1	Wuhan mosquito
S1	1608126	Wuhan mosquito virus 1	Wuhan mosquito virus 1
F2	57609	unclassified Xanthomonadaceae (miscellaneous)	Xanthomonadaceae (miscellaneous)
S1	331627	Xanthomonas phage OP2	Xanthomonas phage OP2
S1	1608141	Xincheng Mosquito Virus	Xincheng Mosquito
S1	1923774	Xinzhou nematode virus 6	Xinzhou nematode virus 6
O1	189359	Xylariales incertae sedis	Xylariales 
C1	222545	Xylariomycetidae	Xylariomycetidae
S1	1415148	Xylella phage Sano	Xylella phage Sano
S	38804	Yaba monkey tumor virus	Yaba monkey
S1	132475	Yaba-like disease virus	Yaba-like disease
S	41460	Yam mosaic virus	Yam mosaic
S1	1286213	Yellow baboon polyomavirus 1	Yellow baboon
S	96029	Yellow head virus	Yellow head
S	1586713	Yellowstone lake phycodnavirus 1	Yellowstone lake
S	1586715	Yellowstone lake phycodnavirus 3	Yellowstone lake
S	1586712	Yellowstone lake mimivirus	Yellowstone lake
S	1557033	Yellowstone Lake virophage 5	Yellowstone Lake
S	1557035	Yellowstone Lake virophage 7	Yellowstone Lake
S1	2052742	Yersinia phage fHe-Yen9-04	Yersinia phage fHe-Yen9-04
S1	1206560	Yersinia phage phiD1	Yersinia phage phiD1
S1	1206558	Yersinia phage phiR1-RT	Yersinia phage phiR1-RT
S	2507058	Yersinia sp. 2105 StPb PI	Yersinia sp. 2105 StPb
S1	1608146	Yongjia Tick Virus 2	Yongjia Tick
S	2080469	Zoogloeaceae bacteirum Par-f-2	Zoogloeaceae bacteirum
S	1985202	Zostera marina amalgavirus 1	Zostera marina
F1	114403	Zymobacter group	Zymobacter group
