#Classification	SRR061192.report.rs.kraken	SRR061294.report.rs.kraken	SRR061320.report.rs.kraken	SRR061365.report.rs.kraken	SRR061562.report.rs.kraken	SRR062083.report.rs.kraken	SRR062298.report.rs.kraken	SRR062299.report.rs.kraken	SRR063517.report.rs.kraken	SRR1804664.report.rs.kraken	SRR1804823.report.rs.kraken	SRR512767.report.rs.kraken	SRR513165.report.rs.kraken	SRR513768.report.rs.kraken	SRR513775.report.rs.kraken	SRR513828.report.rs.kraken	SRR514202.report.rs.kraken	SRR514239.report.rs.kraken	SRR514306.report.rs.kraken	SRR514329.report.rs.kraken
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_sp._sk226	0	1	2	1	2	1	0	0	1	0	0	0	0	0	1	0	0	0	2	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_sp._61	0	1	0	2	1	2	1	0	0	0	0	0	0	1	0	0	0	1	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_sp._AC1-42W	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_sp._CEV_2-1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_sp._GZWMJZ-114	0	1	1	0	1	7	0	0	2	0	0	0	0	4	0	1	0	0	54	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_sp._CNZ301	0	1	2	1	2	6	1	1	0	1	0	4	10	0	0	1	0	3	3	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_sp._BK038	0	1	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	1	2	1
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_sp._ICN441	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_sp._AA1529	0	2	1	15	5	1	5	1	0	0	0	11	0	0	0	105	0	8	0	4
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_sp._Z022	0	2	7	2	29	10	1	4	3	5	0	25	1	1	5	2	1	13	63	4
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_sp._NRRL_S-1813	0	2	1	4	4	3	0	0	0	6	0	1	0	2	1	1	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_sp._CB02009	0	2	16	3	13	9	3	0	3	3	1	4	3	5	16	1	1	5	2	1
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_sp._CB02120-2	0	2	5	0	1	2	7	0	1	0	0	0	0	0	1	16	0	5	1	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_sp._WAC_00631	0	2	0	1	0	4	3	0	1	0	0	0	0	0	1	0	0	0	1	1
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_sp._SAI-097	0	2	0	8	1	1	0	1	8	0	0	0	0	14	0	1	0	1	5	4
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_sp._WAC07061	0	2	1	2	8	6	0	0	1	3	1	9	1	3	0	13	0	0	5	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_sp._San01	0	2	10	14	11	13	3	2	10	15	0	3	4	3	5	3	0	13	16	1
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_sp._BK239	0	2	3	5	2	7	2	0	5	6	0	10	0	1	5	1	3	0	5	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_sp._CNR698	0	3	1	2	0	17	1	0	0	1	0	0	0	1	0	0	1	0	67	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_sp._WMMB_714	0	3	8	11	2	10	1	1	5	10	0	16	1	2	10	4	1	1	9	12
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_sp._NRRL_WC-3725	0	3	1	7	4	6	0	0	6	20	4	0	0	11	6	6	6	1	7	1
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_sp._CB02130	0	3	2	12	2	4	0	0	4	1	0	38	0	3	0	0	3	1	3	3
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_sp._3213.3	0	3	38	3	3	2	1	0	1	7	0	1	16	22	6	3	0	5	14	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_sp._LUP30	0	3	13	2	0	3	1	0	3	0	0	7	7	3	5	2	0	1	6	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_sp._ZFG47	0	3	0	1	0	2	0	0	2	54	0	39	0	1	0	0	1	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_sp._H23	0	4	0	1	0	1	0	0	0	3	0	1	0	0	0	0	0	0	0	1
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_sp._FBKL.4005	0	5	0	14	1	6	2	0	7	2	0	1	1	1	48	0	0	3	0	1
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_sp._L2	0	5	2	26	8	4	2	0	4	5	5	7	3	87	0	3	0	4	33	17
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_sp._MBT28	0	6	0	0	0	0	0	0	0	11	0	1	0	50	14	0	0	0	14	12
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_corchorusii	1	0	1	6	1	0	0	0	2	3	0	0	0	5	1	0	0	3	5	2
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_tendae	1	0	0	1	0	4	1	0	0	1	1	0	0	1	1	1	0	1	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_nitrosporeus	1	3	5	12	4	7	1	1	10	4	1	31	0	5	2	3	0	1	12	3
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_olivaceus	1	0	9	37	1	10	4	0	8	0	1	1	0	17	12	2	0	4	50	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_viridifaciens	1	0	5	7	0	2	0	0	1	0	0	2	0	0	0	0	0	0	0	1
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_yerevanensis	1	4	3	12	1	14	0	3	4	8	32	1	12	0	19	23	3	2	7	16
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_roseus	1	10	2	4	3	8	0	0	6	1	2	1	0	1	5	6	0	0	2	1
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_bicolor	1	2	2	2	4	17	0	1	10	16	1	23	0	12	13	4	1	6	9	9
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_cavourensis	1	0	0	3	0	2	1	0	1	0	0	2	0	0	0	1	0	0	1	2
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_alboflavus	1	1	1	2	4	2	1	0	1	3	0	1	3	1	3	1	0	1	1	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_calvus	1	0	1	4	0	1	0	0	0	2	3	1	0	4	0	1	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_sioyaensis	1	1	0	1	0	1	2	0	0	1	0	2	2	1	3	2	0	0	1	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_varsoviensis	1	1	3	15	5	13	0	3	6	1	0	6	1	60	3	1	0	2	24	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_xanthophaeus	1	2	4	11	4	19	1	0	9	3	0	110	0	1	1	1	1	1	3	3
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_antimycoticus	1	1	3	3	0	4	1	1	3	0	0	1	0	2	1	0	0	1	21	3
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_chryseus	1	1	13	13	4	6	0	1	1	0	0	1	1	66	6	1	0	0	31	6
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_griseoaurantiacus	1	4	3	19	3	8	0	2	3	3	3	43	1	6	29	7	0	5	1	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_pactum	1	3	1	10	7	8	2	0	1	9	1	8	14	4	6	3	0	4	1	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_torulosus	1	2	1	5	3	4	0	1	4	2	1	2	0	2	0	1	0	0	0	1
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_tricolor	1	0	24	1	0	8	1	3	0	0	0	0	0	0	13	0	0	0	0	2
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_africanus	1	3	5	3	2	6	3	0	2	4	3	1	1	1	1	1	0	5	1	2
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_decoyicus	1	0	1	3	0	5	0	0	2	0	0	22	1	1	0	0	0	0	1	5
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_sviceus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_coelicoflavus	1	1	0	3	3	4	0	0	15	0	0	0	0	2	0	0	0	0	0	1
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_angustmyceticus	1	0	19	33	1	21	4	1	4	15	0	2	3	23	1	4	0	1	13	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_albidochromogenes	1	0	1	3	2	16	1	0	3	2	1	1	0	0	3	1	0	2	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_alni	1	2	4	9	3	14	7	1	7	2	1	13	13	1	2	3	2	4	4	2
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_swartbergensis	1	0	0	6	0	4	0	0	1	0	1	0	0	1	0	0	1	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_brevispora	1	1	2	2	2	4	0	0	2	0	0	1	0	1	0	1	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_kanasensis	1	1	13	6	7	8	5	0	4	10	0	2	0	4	0	2	1	0	2	19
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_himastatinicus	1	3	3	3	1	1	5	11	1	1	0	2	1	15	1	1	0	0	1	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_xinghaiensis	1	0	1	5	2	0	1	0	1	6	0	1	3	20	3	0	0	2	3	1
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_wuyuanensis	1	1	1	6	3	5	2	0	1	4	2	5	0	5	2	2	1	1	9	2
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_pluripotens	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_hyaluromycini	1	3	2	8	5	4	3	0	5	17	1	4	0	0	2	0	2	1	2	3
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_malaysiense	1	0	6	15	5	2	3	0	2	23	0	0	0	0	10	3	0	0	5	12
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_albidoflavus	1	3	1	9	3	7	0	1	1	4	1	3	1	0	4	0	0	2	24	2
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_antioxidans	1	0	3	7	3	5	3	3	4	0	0	2	1	0	3	0	2	1	1	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_spongiicola	1	1	7	21	1	6	0	0	20	2	0	4	5	0	6	1	2	0	4	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_geranii	1	0	1	4	4	13	7	0	4	9	1	74	1	3	2	2	0	2	4	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_triticagri	1	1	3	9	1	5	2	0	9	2	1	5	0	0	0	0	0	1	5	2
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_bauhiniae	1	1	0	10	20	8	0	1	2	3	0	10	3	1	6	0	0	0	0	4
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_ambofaciens	2	3	5	2	9	4	1	5	2	5	2	15	0	6	12	0	0	1	12	2
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_kanamyceticus	2	0	4	36	7	5	0	0	3	5	0	2	6	4	0	1	0	1	1	2
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_chartreusis	2	2	3	13	145	7	1	0	2	8	0	5	6	12	0	6	1	3	7	5
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_noursei	2	2	1	5	6	17	2	0	2	4	2	64	4	27	3	10	0	4	24	1
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_mobaraensis	2	2	16	7	4	7	0	0	3	8	0	3	1	12	2	3	1	2	67	1
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_pristinaespiralis	2	5	5	4	32	19	2	1	20	4	2	11	1	3	5	1	0	6	4	6
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_diastatochromogenes	2	1	2	3	1	2	7	0	0	1	0	1	0	0	4	2	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_sulphureus	2	1	2	13	1	13	2	0	15	4	1	113	0	0	0	0	0	7	5	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_griseocarneus	2	1	6	10	4	7	1	1	6	4	4	4	0	2	2	3	1	4	2	3
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_roseoverticillatus	2	1	3	7	2	6	0	0	2	0	0	1	3	0	0	11	0	1	2	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_chattanoogensis	2	2	0	4	33	8	3	1	3	3	1	15	1	1	9	1	1	5	10	1
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_griseorubens	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_bobili	2	9	6	0	2	0	19	0	1	85	0	0	1	1	0	0	0	3	0	9
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_flavidovirens	2	0	1	4	9	5	2	1	2	4	1	2	0	1	1	2	3	0	2	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_lavenduligriseus	2	0	4	7	2	12	4	0	5	2	1	5	0	1	2	2	0	3	4	1
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_flavochromogenes	2	38	1	1	3	3	0	0	3	2	1	1	0	1	0	0	1	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_globosus	2	0	3	5	9	5	2	1	1	0	1	4	0	1	0	1	0	2	3	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_rhizosphaericus	2	0	0	5	0	1	1	1	2	0	0	1	1	1	0	11	0	0	0	1
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_azureus	2	2	4	5	1	47	3	1	1	1	1	1	0	1	2	2	5	5	1	3
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_europaeiscabiei	2	0	4	53	5	15	4	0	8	7	2	128	6	3	5	2	0	26	12	1
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_violaceorubidus	2	1	9	16	3	4	2	2	1	0	0	4	1	2	0	2	0	1	1	1
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_spinoverrucosus	2	1	2	4	2	5	2	1	1	2	1	2	0	1	4	5	0	0	5	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_xylophagus	2	5	8	3	4	21	2	1	3	3	1	3	2	4	6	9	0	1	40	2
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_fulvoviolaceus	2	0	1	5	4	42	8	1	2	3	0	1	3	1	2	0	3	0	9	4
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_rubellomurinus	2	3	7	12	3	32	4	0	7	4	7	23	1	13	16	7	4	14	12	1
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_avicenniae	2	1	6	8	5	19	1	2	7	7	0	5	1	0	0	2	0	0	0	7
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_sedi	2	1	5	6	5	9	1	1	7	24	1	17	1	13	7	10	1	5	14	5
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_iranensis	2	0	1	5	26	3	5	0	3	1	1	4	1	2	1	1	1	2	2	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_caeruleatus	2	0	18	9	7	5	2	0	6	0	2	2	1	3	2	9	1	1	2	1
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_abyssalis	2	1	1	43	3	11	0	0	5	3	2	0	1	3	4	3	0	3	2	2
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_zinciresistens	2	2	3	14	5	11	4	0	3	7	14	4	0	0	6	0	0	2	7	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_oceani	2	0	4	8	3	6	1	0	1	4	3	2	2	53	4	0	1	0	34	19
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_barkulensis	2	1	0	7	1	8	0	0	1	7	3	13	0	8	0	1	1	1	4	2
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_yangpuensis	2	2	1	3	2	3	0	0	2	1	0	2	1	0	0	2	0	0	1	1
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_luteus	2	0	1	8	2	4	0	1	3	0	0	1	0	0	1	1	0	1	0	4
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_triticisoli	2	0	0	13	0	4	0	0	3	3	0	0	2	3	1	1	1	0	0	2
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_antibioticus	3	2	15	9	31	14	6	2	9	1	2	9	1	4	2	1	1	10	5	1
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_lincolnensis	3	2	11	8	32	22	1	3	7	6	4	29	0	7	13	5	8	5	5	6
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_rimosus	3	19	8	23	20	3	5	0	8	16	0	24	3	92	16	11	0	4	48	11
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_kasugaensis	3	0	2	2	2	0	0	0	1	5	0	3	1	4	1	0	7	1	13	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_purpureus	3	1	4	12	6	15	5	0	5	5	81	5	4	6	0	109	1	2	26	2
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_hirsutus	3	2	5	49	3	14	10	0	6	4	8	22	0	19	13	5	0	2	41	5
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_neyagawaensis	3	0	0	6	20	17	3	0	0	21	0	11	0	0	11	17	1	1	6	6
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_ochraceiscleroticus	3	1	2	3	2	5	1	0	3	0	0	1	1	0	0	1	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_toyocaensis	3	1	3	7	0	6	2	0	3	1	1	3	0	0	8	2	1	1	1	2
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_luteoverticillatus	3	2	5	8	6	6	4	0	11	4	16	6	2	2	1	2	1	2	0	4
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_gardneri	3	2	5	4	2	6	1	2	3	3	1	5	2	5	8	3	1	3	6	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_cellostaticus	3	0	2	16	1	10	1	0	1	3	2	1	1	2	0	1	1	2	1	22
